,P,G,Tp
156,7020000.0,500.6,941.1499999999996
157,5000000.0,3069.4,760.6500000000001
158,19970000.0,1485.1,811.1500000000007
159,5000000.0,3071.9,805.8500000000001
160,5010000.0,3067.9,818.95
161,5010000.0,3067.1,834.95
162,5000000.0,2530.2,809.3500000000001
163,5010000.0,2521.2,850.2500000000001
164,5010000.0,2522.6,878.8500000000001
165,5010000.0,2520.7,901.6500000000001
166,5010000.0,1975.3,831.6500000000001
167,5010000.0,1979.1,866.0500000000001
168,5020000.0,1978.9,918.0500000000002
169,5020000.0,1980.3,941.7500000000002
170,5020000.0,1474.9,848.9500000000002
171,5020000.0,1475.8,869.5500000000002
172,5020000.0,1472.6,896.6500000000002
173,5020000.0,1476.1,920.1500000000002
174,5020000.0,1470.4,941.1500000000002
175,19910000.0,1008.6,811.1500000000002
176,5000000.0,1000.1,813.1500000000001
177,5010000.0,991.9,877.95
178,5000000.0,998.8,932.1500000000001
179,5010000.0,1000.2,958.45
180,5010000.0,497.5,820.8500000000001
181,5000000.0,497.3,913.0500000000002
182,5000000.0,498.1,991.95
183,3010000.0,2542.4,761.1499999999992
184,2990000.0,2560.2,820.3499999999992
185,2990000.0,2555.5,835.6499999999992
186,2990000.0,2550.9,844.3499999999992
187,3010000.0,2534.0,866.9499999999991
188,3010000.0,1986.3,833.4499999999991
189,3020000.0,1992.3,864.0499999999989
190,3030000.0,1987.3,897.5499999999989
191,2990000.0,1986.0,944.7499999999993
192,19930000.0,1008.1,704.349999999999
193,2990000.0,1499.3,841.6499999999992
194,3000000.0,1487.3,880.549999999999
195,3010000.0,1490.1,925.6499999999992
196,3010000.0,1486.4,946.8499999999992
197,3010000.0,1008.1,796.9499999999991
198,3000000.0,1005.6,853.8499999999992
199,3000000.0,1003.5,884.3499999999992
200,3010000.0,1005.4,905.1499999999992
201,19950000.0,1010.9,780.5499999999994
202,3000000.0,1003.9,958.8499999999992
203,3000000.0,496.4,826.549999999999
204,3010000.0,496.9,918.8499999999992
205,2980000.0,497.7,983.2499999999994
206,19940000.0,1006.1,720.0500000000008
207,19960000.0,505.6,708.75
208,19970000.0,504.9,749.8500000000006
209,19960000.0,505.8,799.65
210,17980000.0,3044.4,716.8499999999995
211,17990000.0,3050.0,730.4499999999992
212,18020000.0,3064.1,744.9499999999987
213,18030000.0,2552.2,711.149999999998
214,18000000.0,2551.5,732.1499999999988
215,18010000.0,2541.9,744.349999999999
216,17990000.0,2548.0,773.6499999999992
217,18000000.0,2550.8,827.3499999999989
218,17990000.0,1974.4,700.4499999999992
219,17990000.0,1971.8,736.0499999999992
220,18010000.0,1974.4,757.049999999999
221,18020000.0,1975.3,799.6499999999986
222,17990000.0,1504.3,713.4499999999992
223,18000000.0,1500.8,752.3499999999988
224,17980000.0,1506.2,770.7499999999995
225,17990000.0,1505.1,803.1499999999992
226,17980000.0,1504.9,846.2499999999995
227,18020000.0,1008.4,711.5499999999986
228,17990000.0,1004.4,749.5499999999992
229,17970000.0,1005.5,783.5500000000008
230,17980000.0,1006.4,823.5499999999995
231,17980000.0,1009.0,871.5499999999995
232,17950000.0,503.6,710.3500000000007
233,17980000.0,502.0,757.3499999999995
234,17980000.0,501.8,759.0499999999995
235,20030000.0,3061.6,731.0499999999998
236,17990000.0,501.6,806.1499999999992
237,15980000.000000002,3047.1,707.250000000001
238,15980000.000000002,3044.3,736.050000000001
239,15980000.000000002,3047.1,762.9500000000011
240,15990000.0,3050.4,787.1500000000009
241,15969999.999999998,3041.2,812.4500000000007
242,15990000.0,2527.3,711.3500000000008
243,15930000.000000002,2527.6,738.9500000000002
244,15990000.0,2541.0,771.7500000000009
245,15980000.000000002,2531.1,794.250000000001
246,15990000.0,2547.0,816.8500000000009
247,16000000.0,2553.7,870.9500000000011
248,15950000.0,1970.1,734.5500000000008
249,15940000.0,1971.5,782.1500000000004
250,20000000.0,2007.4,705.1499999999991
251,19990000.0,1507.4,715.3500000000003
252,20000000.0,1013.1,705.849999999999
253,20000000.0,497.8,704.6499999999991
254,16010000.0,2493.1,716.650000000001
255,16010000.0,2491.0,760.250000000001
256,16030000.000000002,1998.1,701.4500000000008
257,16019999.999999998,2002.2,736.4500000000002
258,16000000.0,1999.1,804.4500000000011
259,16050000.0,1997.5,878.2499999999994
260,15950000.0,1498.2,733.0500000000008
261,16000000.0,1498.2,808.5500000000011
262,16010000.0,1498.9,898.050000000001
263,16010000.0,1014.9,741.250000000001
264,16019999.999999998,1011.8,785.7500000000001
265,16019999.999999998,1012.7,859.7500000000001
266,15990000.0,498.2,729.1500000000009
267,16010000.0,498.0,767.550000000001
268,12020000.0,3002.7,704.8499999999993
269,12000000.0,2995.0,735.4500000000007
270,12010000.0,2486.6,719.3499999999997
271,12000000.0,2484.6,772.3500000000006
272,12010000.0,1994.5,721.3499999999997
273,12010000.0,1993.9,753.3499999999997
274,12000000.0,1993.6,777.4500000000007
275,12010000.0,1995.9,873.5499999999997
276,12010000.0,1497.8,740.9499999999998
277,12000000.0,1495.8,768.5500000000006
278,12010000.0,1494.7,800.0499999999997
279,12030000.0,1501.8,898.6499999999996
280,12000000.0,1010.8,721.8500000000006
281,12000000.0,1013.1,765.8500000000006
282,12000000.0,1010.1,806.0500000000006
283,12010000.0,1000.0,841.7499999999998
284,12000000.0,1010.2,852.6500000000007
285,12000000.0,496.3,716.4500000000007
286,12010000.0,497.1,808.0499999999997
287,12000000.0,498.6,853.3500000000007
288,11990000.0,497.5,873.8500000000005
289,7009999.999999999,2482.9,738.2499999999994
290,7020000.0,1993.6,724.5499999999996
291,6980000.0,1994.9,776.250000000001
292,6990000.000000001,1501.1,1071.0499999999997
293,7009999.999999999,1496.6,781.4499999999995
294,7020000.0,1495.3,820.6499999999996
295,7000000.0,1008.9,716.55
296,7009999.999999999,1010.6,804.5499999999994
297,7000000.0,1010.1,862.75
298,7009999.999999999,497.3,832.2499999999994
299,3010000.0,3022.9,722.8499999999992
300,3020000.0,3025.1,737.3499999999989
301,3010000.0,2484.2,720.5499999999992
302,3010000.0,2483.3,747.3499999999992
303,3000000.0,1990.8,755.6499999999992
304,3020000.0,1991.7,787.149999999999
305,3020000.0,1497.5,729.749999999999
306,3010000.0,1494.1,786.0499999999993
307,3010000.0,1497.2,827.0499999999993
308,3010000.0,1009.9,701.1499999999992
309,3010000.0,1009.7,793.5499999999993
310,3000000.0,1009.6,838.8499999999992
311,3020000.0,1009.2,881.649999999999
312,3010000.0,500.0,717.4499999999994
313,3010000.0,499.5,858.6499999999992
314,3000000.0,499.5,994.9499999999991
